Repository Number,Repository Name,Number of Pulls,Number of Stars
1,alliandalex.com,0,1
2,ansi,0,0
3,artifactoryCli,0,1
4,AuthLogAttackMap,0,10
5,bashful,0,763
6,boltzmann-tsp,0,0
7,boxctl,0,4
8,bridgy,2,310
9,cfndsl,0,0
10,config-sempai,0,0
11,development-environment,0,0
12,diff2HtmlCompare,0,41
13,dive,2,10374
14,docker-api,0,0
15,docker-cert-study-group-notes,0,0
16,docker-ruby-node-oracle,0,0
17,docker-workshop-1,0,0
18,exekube,0,0
19,fusermount-issue,0,0
20,gitsome,0,0
21,gocui,0,0
22,habitus,0,0
23,homebrew-bashful,0,0
24,homebrew-dive,0,0
25,jotframe,0,7
26,K8sPiCluster,0,0
27,legacy-point-monitor,0,0
28,lxd,0,0
29,mini-x86-disassembler,0,0
30,moby,0,0
31,my-dev-box,0,0
32,node-saku,0,0
33,open-cabinet,0,0
34,origin,0,0
35,overlayUtils,0,0
36,package,0,0
37,Popout,0,0
38,ProgrammingAssignment2,0,0
39,protocol-tools,0,0
40,PyDebugShell,0,0
41,pyfileversion,0,1
42,rawtar,0,0
43,reprint,0,0
44,rvm,0,0
45,SimpleWebCrawler,0,0
46,snake,0,0
47,StackAttack,0,5
48,stacko-py,0,2
49,stitch,0,5
50,sync,0,0
51,tar-overlay,0,7
52,terraform-aws-openshift,0,0
53,zmqservice,0,0
